g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,label,split
-0.2559,0.5114,2.4507,-0.3151,-0.9300,-3.3112,1.1119,0.4241,1.0369,3.4195,0.3948,-2.2188,-1.6661,0.8553,3.5258,0.4988,-1.6914,-1.7439,-0.8896,-0.4682,-3.2171,-0.0459,0.5210,1.5520,0.3087,0.3942,-0.6611,-1.1538,0.5566,1.1970,-0.6203,2.2180,-0.3440,-0.1064,0.6321,0.2484,-0.4474,-3.6300,-0.5206,1.2209,1,train
0.4974,-0.0623,-1.4647,0.8278,0.6693,0.9458,1.4406,0.3622,0.1193,-1.2992,0.6154,-0.6118,-0.4527,-1.2648,-0.9676,-0.5311,1.2888,-2.0318,-1.4577,0.2394,1.4433,0.5785,-1.8999,-2.5182,0.3574,-0.7363,-1.1198,0.9774,1.1018,0.1573,0.2458,0.4344,1.5940,0.6190,0.5186,0.5477,-1.5683,1.2817,0.9551,0.5296,0,train
-1.9739,-0.6337,4.0714,-1.8112,-0.1840,-1.9808,-1.3112,1.6101,0.5520,3.1555,0.3249,-2.5765,0.1204,1.1457,3.1427,-0.4147,1.0417,0.0268,-0.8805,0.9465,-1.6645,-0.4448,-1.3800,2.6942,-0.1490,-0.2980,1.4048,-3.8779,1.2606,-1.2683,-0.7870,3.6263,1.1287,0.8590,0.3452,0.1424,0.1525,-2.7942,-0.1762,0.2774,1,train
-0.3366,0.3858,1.8373,-2.5647,-1.1239,0.2439,0.3983,0.2386,-0.4312,0.6551,0.2821,-0.5221,2.4301,0.3551,-0.5542,-0.0994,-0.2256,-0.0627,-2.7281,-0.4869,1.0086,-1.1686,-0.0667,0.9535,0.8562,1.4911,-1.7014,-0.3534,-0.3409,0.6233,1.0918,-2.6828,1.0887,-1.4475,0.6831,-1.4921,0.1759,1.1947,-0.1493,0.1911,0,train
0.7971,0.1414,3.3660,1.5333,1.0485,-3.8888,2.7453,-1.1468,0.9146,3.3152,0.1324,-2.2227,0.2222,0.6386,1.1751,-1.5095,0.6149,-0.9632,-1.0266,-1.4701,-2.1410,0.7466,1.4731,2.1083,0.0010,-1.1403,0.7660,-1.4603,-0.8902,1.5603,0.9880,3.3919,-1.9720,1.4066,-0.0963,-0.6028,0.3996,-2.4847,1.4981,-1.0201,1,train
-2.2967,-0.3872,-1.8539,0.8188,0.3170,-0.6112,-0.0096,0.8326,0.0789,1.3265,-0.0613,1.0403,1.4915,1.6099,-0.6718,0.8799,-1.8760,-1.0833,-1.9628,1.0690,-1.2319,-0.0128,-0.1922,-0.0286,-0.5915,0.2337,1.7913,0.0443,0.5310,1.0005,-0.1979,-1.2597,-0.5554,1.0736,-1.6462,-0.5978,1.0074,0.7927,0.0076,0.8052,0,train
0.1660,-1.1789,2.1906,-0.6390,0.9227,-3.5175,-0.9024,-0.7710,-1.5318,3.1072,-1.1796,-2.9969,-2.3601,0.3278,1.9961,-1.9421,0.7247,-0.2755,-2.2300,-0.8751,-2.6733,-0.4586,0.7800,3.8647,0.6662,0.3266,1.3337,-2.6703,0.4512,-2.0840,0.8966,4.2956,-0.2969,-0.4695,1.9403,-1.7581,0.4689,-0.4981,-0.9276,0.6896,1,train
-1.0161,-0.3590,0.8917,0.1017,-0.8530,-0.8416,2.6667,1.1399,0.6374,-2.5929,0.6215,0.4807,1.6841,0.4278,-0.0675,0.5224,-1.9442,1.0333,0.3249,-0.7021,1.3256,1.8093,-1.4024,-0.6663,0.2913,0.1835,-0.3985,-0.9742,2.1205,1.0374,-1.1942,-1.3450,1.7031,0.9891,1.8210,0.8101,-0.8721,0.2607,-2.1601,-0.7481,0,train
-0.0589,0.5228,2.8660,-0.1242,0.4585,-2.9059,0.6380,0.2090,-0.3239,3.7808,0.0494,-4.0648,-0.6259,-0.0003,3.5522,0.1570,-0.0005,0.1759,-0.1343,-1.2584,-2.9672,1.0537,0.4346,3.2203,0.4464,-0.9657,-1.8962,-2.5073,-0.9305,0.7399,-1.0841,0.3121,-1.0395,1.5781,-0.3818,-1.3694,-0.7634,-2.7710,0.4969,0.1767,1,train
-0.2964,1.0689,0.5963,0.9083,-0.2124,2.5464,1.2400,-0.2154,0.0906,2.5952,-0.3432,0.8741,0.9805,0.0066,-1.1671,0.1875,0.3594,1.1297,0.7829,0.0244,0.8536,0.5398,0.2060,0.0552,-0.2434,0.6862,-1.0542,-0.6287,0.0050,-1.4640,-0.4359,-2.0088,-0.6829,0.5684,0.5664,-0.0545,-0.2321,-1.4168,1.8278,0.5160,0,train
1.0935,-0.8823,2.4222,-1.8195,0.7805,-2.0798,-1.8974,-0.0521,0.6303,0.6363,-1.8254,-4.1449,-0.6292,-1.4029,3.0906,0.2496,0.6340,0.7020,1.5027,1.1643,-3.7609,-0.5054,-1.0602,1.8232,-0.0813,0.0055,0.4904,-4.4614,-1.2376,-0.0231,-0.1995,2.8727,-0.0632,-0.7598,0.7013,0.3543,-0.0878,-3.9168,-0.1742,-2.7216,1,train
-0.0363,-0.8513,-0.1443,-0.0654,0.7345,0.2943,-0.7226,-1.3544,-0.3731,-0.7404,-1.1119,-0.1159,-0.4911,0.1054,0.5233,-0.4130,2.3243,-0.3215,1.1017,0.1217,1.1162,-2.3759,-0.7515,0.2470,0.6025,2.3365,0.3225,1.2798,0.7664,0.9474,0.5101,-0.1561,0.5091,-1.0781,1.1814,-1.0172,0.2492,2.1208,-0.2234,0.0195,0,train
1.1630,0.0262,2.1681,0.2582,0.5821,-2.1648,-0.7725,1.7525,1.6668,2.9698,0.2686,-2.9932,1.4141,-0.7049,3.6837,-0.4797,-0.6940,0.7187,1.3338,-0.0101,-3.1022,0.8115,-0.0495,3.2820,1.5229,1.1316,-0.5198,-0.8399,0.0033,0.7860,-0.6474,3.1424,-1.7500,1.7867,1.3657,-1.2153,-1.5052,-4.5284,1.1758,-0.4595,1,train
-0.9037,0.1596,-0.4846,1.5658,0.7677,-0.1152,-0.4711,-0.7027,-0.9372,-0.3529,0.2948,0.5155,0.5689,2.0987,-0.7049,0.0130,2.7946,-1.8671,-0.5215,0.1696,0.1544,0.4079,-0.2387,0.3661,0.0528,0.7714,-1.8926,-0.8850,-0.0022,-1.0318,-1.0447,0.6277,-0.6500,0.6349,0.7458,0.3065,0.5081,-0.1046,-1.4091,-0.0301,0,train
0.4542,-0.5294,2.4946,0.7492,-0.8781,-1.8920,1.8626,-0.5546,0.1465,2.9660,1.5402,-2.7826,0.8977,-0.6901,2.4611,-0.0098,-1.7759,1.4408,0.8994,-1.7491,-2.1747,-0.1312,0.4484,3.1494,-1.4990,-0.2120,1.4926,-3.7589,-1.0228,-1.3596,-1.2211,3.2888,1.6926,0.4294,0.2455,2.2336,-0.5194,-3.6397,0.5285,0.5485,1,train
-0.3535,1.0536,1.3908,-0.3670,0.8461,-0.7576,0.0720,0.7499,1.5142,-0.3826,-0.0741,0.1964,-1.4981,0.0159,-0.6759,0.3715,-1.1300,-1.9769,0.0383,0.2606,-0.5489,0.8888,-0.2732,-0.6057,0.4777,-1.5682,-0.6775,-0.0208,0.8489,-0.1627,0.3085,-0.6555,0.3017,1.6635,-0.6864,2.3662,-0.6438,0.0171,0.1733,1.0243,0,train
-1.2370,-2.1005,3.7394,0.7954,0.6237,-0.7261,0.2050,0.2539,0.9292,3.4480,1.6637,-4.1784,-0.3754,-3.4447,3.1932,-0.3724,0.9240,2.1541,-0.0059,-0.2545,-3.8882,-0.8379,-0.6304,3.6513,0.0368,0.0663,-0.1733,-1.9710,0.4940,-0.1418,0.6647,2.9886,-1.1529,1.4553,0.4653,-0.9573,1.0788,-2.6863,-1.5644,1.6099,1,train
0.6757,-0.3710,-0.0365,-2.1389,-0.4233,0.6757,1.3367,-0.3640,-0.1213,1.5835,-0.3258,0.7340,1.6783,0.0398,1.2269,-0.7105,0.2077,-0.0774,0.1149,1.1297,2.3899,-0.6655,-0.5751,0.4974,-1.0551,0.4970,0.5719,-0.2775,0.5312,-1.5493,0.7599,-1.5448,-0.6964,-0.5562,-0.4011,0.8588,0.0817,-0.3974,0.5435,1.5813,0,train
0.0062,0.3658,4.4253,0.2678,-1.2838,-0.4992,2.2084,-1.9849,-0.0392,2.6869,0.9657,-2.4478,-0.2722,-1.0538,3.5808,1.0334,-1.0896,-1.0272,-0.0246,-1.9375,-2.5132,-0.4365,0.4508,2.6211,-0.8821,-0.3942,-0.0499,-3.7483,0.0121,0.7502,1.1851,4.8948,-0.7835,-0.4198,-2.4829,1.8993,-0.7247,-3.2100,0.5226,-1.3586,1,train
1.3039,-0.2236,0.8736,-0.4099,0.7279,-0.8140,-0.1083,1.7310,0.4456,-0.1582,-1.1448,-0.7901,0.1936,0.9394,0.4261,0.5241,-0.0418,1.3520,-0.3908,-0.5497,0.8881,0.0636,-0.2786,-0.5761,-0.2569,0.6236,0.3537,-1.2096,0.4263,0.1790,-1.0002,0.7728,-0.2804,-0.3354,0.7958,1.3207,-0.6886,0.4383,-0.8761,2.3143,0,train
-0.4938,1.1950,2.7071,0.8113,2.2189,-5.3636,-0.4345,0.5005,-0.0929,2.7904,2.1521,-2.6053,-1.6444,0.8541,1.3851,1.1508,-0.5778,0.1448,1.2610,0.1179,-4.1801,-1.6959,1.1826,3.8037,-0.8158,0.8595,0.4967,-2.0760,-2.2589,-0.3021,0.9004,3.0945,0.8814,-2.4573,0.1691,0.4922,2.5519,-4.3910,-0.3293,0.0359,1,train
0.3034,-0.5586,0.2009,0.9902,-0.9775,-0.1104,0.5392,0.5262,-0.3353,-2.1070,1.2429,0.3283,0.0131,-0.2785,0.2634,-0.4256,-1.0247,-0.7398,-0.5968,-0.6124,-1.1587,0.6363,-1.3098,0.6597,-1.0147,0.3525,1.3741,0.2033,-0.7308,0.0483,0.1481,-1.7338,-0.6077,0.1630,-0.4692,0.0797,0.7340,0.7666,0.9057,0.5885,0,train
-0.2879,-0.0184,3.2258,-0.3132,-0.1797,-5.5214,-0.3332,-0.0241,-0.9740,2.6125,0.5155,-2.3960,2.0766,-2.6065,3.1363,-1.8254,0.9800,2.6541,-2.5020,0.1279,-3.0927,-0.3024,0.5516,1.1259,0.8520,0.3720,0.0228,-3.9132,0.6384,-0.4854,0.2231,2.2425,-2.2468,-0.0313,0.2022,0.7544,-0.8761,-2.7477,0.6171,0.1454,1,train
0.8884,-0.9116,-1.8133,-0.9975,2.4923,1.9234,-0.6865,-0.7290,0.2314,-0.7494,1.3101,-0.0783,-1.0863,1.3089,-0.5831,0.2213,-0.0127,-0.3144,0.3249,-0.6925,-1.8445,-2.2080,-1.2666,-0.7584,-0.0230,0.0553,0.5560,0.1199,-0.7934,-0.7089,-2.1188,-0.1691,0.4849,0.5297,-0.1214,-0.1742,0.9363,0.0154,0.7378,0.5825,0,train
0.2132,1.3064,2.5234,-0.3589,-0.8080,-3.5688,1.5560,1.7593,0.0229,3.4450,1.1753,-2.5073,1.2053,-1.2630,3.1613,0.4527,1.4353,0.1039,-0.8584,-0.3545,-3.9124,-0.8583,1.5012,2.5048,0.0204,2.1624,1.1847,-2.0433,-0.6119,0.4103,1.6217,4.3941,1.2615,0.0981,0.5163,-0.2010,0.4269,-1.7303,-1.4311,-0.0625,1,train
-0.0338,-1.1184,-0.0568,-1.0961,0.0710,0.4663,0.0312,0.2797,-0.8518,1.4298,-0.6532,-1.8183,-0.1875,-0.7637,-1.0098,-0.3549,0.2912,-1.1818,-0.1375,1.4267,0.6827,-0.1520,0.1277,-0.1199,-0.0478,0.7324,-0.0925,-2.4044,-0.0215,-0.8895,0.6513,-0.6103,0.1484,2.1773,-1.0469,-1.1246,-1.4115,-2.3949,-1.8785,0.3645,0,train
-0.6381,-1.8682,1.2943,0.6173,-0.7753,-3.1247,0.3305,1.3564,1.9410,4.1794,0.1436,-2.9224,1.8022,1.4286,2.7020,0.4577,0.2869,0.0524,-0.5000,-1.3265,-3.2634,-1.5441,1.2238,3.3598,-1.2060,1.3958,0.8917,-5.2896,1.8414,0.8099,2.0642,2.0743,0.5307,0.4231,0.2019,0.1712,1.0533,-4.5348,-1.2421,-1.3942,1,train
-0.3226,1.5530,-0.5941,0.6487,1.1536,-0.2655,0.8254,-1.1157,1.0126,0.1996,-1.5867,0.6695,-0.8923,1.2818,-0.6790,-0.1647,0.2830,-0.3324,0.2596,-0.5533,0.6718,0.0055,0.2111,-2.7526,1.1614,0.0318,-1.7826,0.0955,0.4672,1.0707,-1.0827,1.5470,-0.1594,2.3947,-0.1463,0.6797,-0.3666,-1.1159,1.0967,0.9063,0,train
1.5385,0.8570,2.2033,-1.6625,-0.6506,-2.9375,-0.8152,0.5824,0.3278,2.8617,0.1726,-3.3380,0.2128,0.7521,3.9649,-0.6859,-1.5068,1.4274,0.1145,1.1057,-4.9988,-0.3300,0.0271,1.3239,-0.5159,0.7245,1.0786,-1.3730,-0.8636,-1.4013,0.5205,3.8184,0.1930,-1.3015,0.7821,0.7926,0.5534,-3.7156,0.3041,0.7907,1,train
