drug_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,split,true_reversal
drug_0,0.1046,-0.5147,-3.2358,1.8763,-0.1789,2.2090,-0.6914,-1.6377,-0.4877,-2.9079,-0.4745,3.2045,0.4002,0.4470,-3.0447,0.2996,-0.9504,0.8367,-0.9629,-0.3271,2.3867,-0.4077,-1.1186,-2.7463,1.4819,-1.6958,0.1187,3.2649,0.3048,-1.2676,0.5678,-3.4298,1.6694,1.1722,-0.4474,0.9201,-0.4480,3.6212,-0.4885,-1.7136,test,0.9903
drug_1,-1.7729,0.4477,-0.4704,0.7440,-1.6488,-0.1376,0.6914,-0.6274,-0.3539,-3.5387,1.0890,-1.2919,-0.8922,-0.3230,-0.3093,2.0565,0.2683,-0.8100,0.5677,0.3343,0.2757,-0.0631,0.4516,-3.2721,-1.1744,-0.4143,-1.0790,0.6823,1.8969,1.2037,0.4363,-3.4073,-0.6695,-1.2647,0.5358,-1.4395,0.2954,-0.1375,0.7337,0.0492,val,0.6715
drug_2,-0.9688,-0.9151,-3.2737,-0.4429,2.5042,3.7557,-1.4788,-0.5419,1.5293,-1.7830,0.1487,3.2942,1.5593,-0.4369,-3.2626,-1.6692,-0.6943,-2.4972,-0.4624,2.1311,3.2583,-0.2592,-1.1301,-2.9337,-0.4595,-0.8279,1.3481,2.5865,-0.8652,1.4453,-0.0532,-2.9274,0.1440,1.1525,0.5995,-0.3396,0.6999,3.2986,0.1304,1.6044,val,0.9883
drug_3,0.0383,0.2142,-2.3734,0.3373,-0.8324,2.8268,-0.5914,-1.1389,-0.6913,-0.4849,-0.1456,-1.5218,-0.2512,-1.1004,-0.7997,0.1847,1.0848,0.2792,-0.4781,-0.4281,1.3103,-1.5834,1.1149,-1.4642,-0.6201,0.0454,-0.2165,3.9347,0.4834,-0.0469,0.9329,0.0367,-0.7880,1.0954,1.4668,1.2499,-1.1493,1.8610,-0.4077,0.7500,val,0.6877
drug_4,-0.2380,0.7679,0.5871,1.2373,-0.0097,0.7368,-0.2043,2.3865,0.3864,-2.7831,1.2777,-0.8406,1.0084,2.2165,-0.9787,0.5516,-0.5377,0.0831,-0.1738,-2.0780,2.5698,-0.0275,0.9563,-0.6399,-0.3613,-0.3757,-1.4046,3.2772,1.2643,1.3911,0.6707,-2.7799,0.4537,3.0799,1.6429,0.3403,-1.0546,3.1550,-2.5425,1.1037,val,0.7287
drug_5,0.1411,-0.1730,-3.2225,-0.3018,1.3697,3.1318,-0.5939,0.2379,-1.1367,-2.8370,-0.0690,2.8251,1.3216,0.8668,0.5192,0.5660,0.7035,-1.8603,0.4557,-0.4194,2.5671,0.0546,-0.7742,-3.2658,1.0556,0.1234,0.1074,2.9227,0.6804,-0.0831,1.3720,0.6995,0.5539,0.4447,-2.7129,1.0900,-0.3923,0.7780,-0.5880,0.0925,val,0.8186
drug_6,-1.8771,1.2975,-2.6820,-2.3352,1.4360,3.0009,0.3777,0.7737,-0.8787,-2.9655,-0.3522,2.6983,0.7625,0.4716,-0.3546,-0.9368,0.9672,0.2912,-0.6751,-1.7381,2.9187,0.7451,-0.9195,-3.3479,0.0424,0.1314,-0.5399,3.3518,1.8774,-0.1873,0.3352,-3.0067,0.4253,-2.5459,0.6146,0.8172,-0.7725,2.9647,0.7523,-0.6394,val,0.9617
drug_7,0.8209,0.1918,-1.4048,-1.1556,1.3459,1.1001,-0.9417,0.7736,-0.9450,0.5108,2.2382,-0.1335,1.4193,-0.8045,-0.1702,-0.5256,1.8392,0.4143,-0.6562,-1.2496,-0.3027,0.7279,1.0831,-0.5879,0.9054,0.1131,-0.2178,0.3042,2.1393,-0.2968,0.0365,-3.3863,-0.4226,0.2410,-0.2757,-1.7998,0.4338,2.8905,0.1190,0.1130,val,0.5779
drug_8,0.2701,1.4985,-2.7895,-0.9557,-1.5281,2.8691,1.2676,-0.2676,0.6227,-3.3737,-0.9445,3.2252,0.6219,0.0311,-2.9730,0.6152,0.9965,-0.0136,0.5880,-0.7092,2.6317,-1.0150,0.3032,-2.8044,-0.0397,0.1124,0.8268,2.2637,0.2985,1.0527,0.6696,-2.8417,0.8795,0.2321,-0.5502,0.4681,0.8975,-0.4080,0.3971,0.2565,val,0.9386
drug_9,-1.0621,0.5603,-0.2523,-0.1062,1.1886,3.0013,0.3079,-1.1105,-0.2857,1.1064,-0.7060,-0.8614,-1.0088,0.2104,-0.9319,2.8061,0.0108,0.1371,-0.5021,0.5410,3.1585,-0.2895,-0.4440,1.1583,0.1461,0.7736,0.0297,3.2052,0.4572,0.7759,0.0120,-3.7117,0.8847,-0.8115,0.4834,-0.0883,0.1758,0.8535,-1.3972,-0.0753,val,0.5749
