id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,activity,split
0,3.947734,-2.226744,0.216648,-3.834541,2.738511,0.008783,-2.752496,-0.650796,-3.487515,-2.615449,-1.234664,0.842851,1.027424,train
1,2.872566,-2.100334,0.222050,0.819598,-0.881682,0.681169,-3.766953,0.699657,1.670961,-2.190641,2.192159,0.629777,0.344574,train
2,3.059497,0.155885,0.087000,-2.553315,-3.452294,0.207495,-1.916585,0.344993,0.134937,3.636330,-3.011629,0.489251,0.295939,train
3,3.793707,-1.981145,0.955265,-2.740589,-3.759744,0.393950,1.728345,-1.076997,1.337699,0.334574,-3.323103,0.208718,1.399103,train
4,-0.532524,-0.627437,0.650050,1.817526,1.118539,0.988749,1.782000,-0.334134,1.520765,0.885157,-0.657809,0.226063,0.570313,train
5,-3.156531,3.887982,0.259620,-3.330768,-3.993752,0.972586,-3.938703,0.087203,-3.183543,-1.400788,-1.022586,0.484334,-0.043635,train
6,-3.632117,0.539959,0.673166,2.446176,1.235009,0.332147,-0.885299,2.060007,-2.919396,-0.714562,2.645180,0.866000,1.504727,train
7,2.303182,-1.939225,0.674634,1.444235,2.000021,0.184317,-3.398950,-1.302923,-1.974349,3.653261,-0.832406,0.057259,0.852408,train
8,-0.694529,-2.457894,0.961894,-3.570736,-1.740968,0.140851,2.229309,-2.883761,-3.452461,-1.779847,2.475237,0.919046,2.078290,train
9,0.187370,3.578556,0.594059,3.983227,1.263460,0.080373,-3.873864,-2.611727,-0.917486,-0.639823,3.709414,0.548145,1.204679,train
10,-0.379316,1.040482,0.333123,3.076820,2.347717,0.299841,2.019906,0.632071,1.892956,0.596823,0.265437,0.033872,0.259317,train
11,-1.087515,1.265394,0.676743,1.348163,-3.807355,0.222742,-2.587650,0.555189,2.136125,-3.758201,-2.401071,0.533786,1.303004,train
12,2.854799,0.158483,0.332275,1.177764,-2.845629,0.148917,3.142129,-3.701603,-3.071219,2.689008,-2.268529,0.285952,0.607143,train
13,1.763695,2.817844,0.923561,2.888781,-1.059222,0.162073,-1.335414,1.462744,-0.540156,-3.610980,-2.094468,0.853261,1.936693,train
14,2.632947,1.561689,0.383511,1.791776,-3.313723,0.025404,3.931222,1.999289,-0.620606,-0.012059,3.608924,0.732413,1.166071,train
15,-1.546596,2.168030,0.517223,-0.390178,-0.038200,0.305625,-2.990240,-1.347319,3.248854,1.567649,-2.024476,0.253121,0.839681,train
16,3.826415,-0.529546,0.805032,-3.477804,-2.877935,0.709374,-1.992934,2.880900,-1.872719,-3.435842,2.637562,0.857198,1.511892,train
17,-2.563143,3.781197,0.822079,-1.001741,3.743942,0.355040,-0.959152,0.091120,-1.468436,-3.149857,-1.569177,0.636617,1.634883,train
18,2.338184,3.389274,0.868405,0.967252,0.081027,0.948056,-0.285915,1.543133,2.589794,2.013810,1.492970,0.690999,1.367494,train
19,-0.729763,-1.627003,0.262783,2.265843,-1.310029,0.013246,-0.166753,0.942257,-1.247244,-3.405895,-2.023859,0.595433,0.955928,train
20,-0.041286,-3.700089,0.815238,-0.387285,-2.084451,0.563555,1.116931,2.834049,2.626531,2.413295,0.387545,0.692119,1.556416,train
21,-0.576372,-0.787546,0.179787,3.343815,3.010117,0.817638,3.868571,-2.137646,1.399531,-3.186018,3.864172,0.832517,0.189312,train
