a,z,T
29.805961,-0.556686,162.932774
25.316721,-0.982434,128.147112
4.93136,-0.162699,11.137256
10.566312,0.685703,34.595546
6.07042,0.774152,15.165546
6.894875,0.2049,17.79499
11.876757,0.362338,42.537198
21.353441,-0.54766,99.390788
23.288389,0.259553,115.403258
2.883898,-0.638329,4.77768
2.333357,-0.585009,3.555518
15.650954,0.909082,64.237203
3.969329,-0.021498,7.769149
29.234136,-0.495286,154.971694
28.67136,-0.685147,158.050152
21.566482,-0.269249,100.718204
20.116208,0.083644,91.819844
13.173006,-0.156859,48.308479
19.606475,0.454381,81.835564
21.765675,-0.083534,94.51978
20.795839,0.221289,93.063178
0.449213,-0.881122,0.304272
3.431378,0.971996,6.351462
0.323197,0.945172,0.186039
0.527565,0.021801,0.391356
11.353651,-0.031332,38.864915
1.665764,0.13499,2.095704
19.73497,-0.335707,83.453416
11.863327,0.515002,41.694291
24.970229,0.732,127.665584
22.58345,0.678989,107.907333
20.336625,0.361059,89.646708
22.575079,-0.631366,109.860451
7.820229,0.913315,22.139555
12.059692,-0.885483,41.176875
28.868257,-0.892684,156.686737
8.686657,-0.718298,25.677729
2.332738,-0.444962,3.505212
24.339318,0.838092,117.179524
15.845609,0.894639,60.305566
17.943561,0.995807,75.498276
0.768281,-0.652932,0.666487
11.743834,-0.159956,41.72765
13.741791,0.260121,50.504892
10.193742,0.769205,32.768562
22.648903,0.158018,105.159002
22.177599,0.149206,103.636454
16.300332,-0.702245,65.703152
11.1126,0.316349,36.310868
1.015196,-0.554516,0.982025
5.543348,0.138797,13.061783
6.236022,0.067573,15.457528
25.748442,0.039621,127.858664
4.585604,-0.702165,10.189308
26.815155,-0.925401,144.764653
6.728087,-0.428096,18.115325
22.510705,0.003067,105.646823
27.729776,0.722195,137.60288
11.217639,-0.675854,36.719291
13.14467,-0.902745,49.534949
7.374287,0.706522,20.466988
11.69028,0.447944,38.345582
2.847803,-0.949192,5.045477
12.846002,-0.003015,45.917602
28.54813,0.464826,154.770027
9.408261,0.542007,30.106729
15.661529,-0.097545,60.392556
4.048735,-0.33683,8.152912
27.211369,0.391912,142.009335
29.355566,-0.132387,162.695537
24.209454,-0.869451,122.69198
7.751233,0.720225,22.365498
8.197533,-0.85896,24.137549
8.670868,0.328318,24.206826
5.634331,0.945299,13.544217
29.049386,-0.289921,152.475494
11.589149,0.02278,39.22527
9.324432,0.273234,28.843151
23.830507,0.847318,119.624035
15.450814,0.896111,58.866098
14.088541,0.385783,54.064214
20.69265,0.381999,89.912113
9.318123,0.753594,27.842685
8.104659,0.566461,23.387782
10.286516,-0.973507,31.630593
10.519608,-0.851474,34.304629
7.636425,0.190866,20.927643
24.512558,-0.096821,121.394694
7.411474,0.127109,19.417561
24.900997,0.603324,118.632328
16.58876,0.384239,70.311796
13.010219,-0.196886,46.45033
5.639676,0.835954,13.921399
29.512069,-0.534411,154.100037
20.345759,-0.796504,96.94723
17.117451,-0.041683,70.392782
2.676112,0.725162,4.347884
15.21429,0.280688,57.281982
18.026197,-0.88751,76.557222
3.473999,-0.979533,6.275475
27.517646,-0.14163,146.043119
14.938516,-0.915837,57.326753
24.273294,0.566152,115.673002
27.553476,-0.80335,144.828434
28.301833,0.864773,141.212839
24.808229,-0.599975,124.911003
22.001787,-0.446357,103.08383
16.29293,0.597027,64.861505
6.129227,-0.351777,15.043583
26.204844,0.978135,132.887746
5.057761,-0.561,11.780063
