f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label,split
-1.2241,-5.5842,0.9950,-0.5132,-1.3290,-0.0655,0.4780,1.0982,-1.2159,-1.2929,0.7059,0.4741,1.5338,0.9825,-0.1018,-0.2742,2.5705,-0.2888,-0.7849,-1.1383,0,train
0.1453,-6.0799,-0.0622,0.2731,0.6924,1.0968,0.2098,-1.7898,0.7017,-1.4197,-0.1714,-1.4738,0.0021,-0.7786,0.2139,3.3003,-0.0486,0.8423,-1.3233,-0.2881,0,train
-0.0927,-4.9731,0.1033,-1.0061,0.5637,-0.8120,1.8718,-0.5052,0.6861,0.0023,0.9524,-0.6022,0.9989,-0.1239,1.2633,0.6242,0.1413,-0.7803,0.7678,0.4682,0,train
-0.3770,-4.6612,0.5079,0.2830,0.2084,0.1821,-0.5984,-1.0145,-0.3965,0.5908,1.5112,0.9771,1.0533,0.7773,0.6985,0.1834,0.7715,1.7737,-0.3276,-0.6938,0,val
0.2447,-5.7453,0.8739,-1.1357,2.4335,1.7758,0.1769,0.7525,0.1269,-0.8842,-0.1121,0.3740,1.1158,0.7093,0.0595,1.3548,-0.7607,0.7929,1.1122,-0.2920,0,test
-0.9063,-5.0184,0.5278,1.5482,-1.0042,0.0020,0.6488,-0.1577,-2.3697,0.8065,2.3123,1.0043,-0.9174,-0.4124,0.2218,2.4890,0.6174,0.1136,1.5575,-0.0817,0,train
-0.6850,-7.0203,0.7209,1.4244,0.6539,0.3016,-1.8216,-0.7129,-0.6106,-0.5336,0.5864,-0.3352,0.7877,0.0823,-0.3328,0.1182,0.4288,0.8581,-0.4775,-0.2327,0,train
1.6038,-5.4041,-0.1788,-0.4784,-1.2359,0.1699,0.2063,2.1817,0.2463,-0.7779,-2.4446,1.4094,0.1894,-1.6093,0.1804,-1.6086,3.4804,1.1189,0.5725,-0.1751,0,train
-0.1264,-7.6087,0.5962,-2.1389,-0.9077,1.2196,1.6439,-1.1812,-1.5340,0.8794,0.8531,-0.9866,-0.6943,-0.6940,-1.1894,-0.6802,1.2507,0.6897,2.0566,-0.0863,0,val
-0.9824,-5.8907,-1.3131,-1.7774,0.6970,1.4401,0.8369,1.3324,0.2523,-0.7182,0.0863,-0.3740,-1.1115,-1.6925,-1.4828,-0.0055,0.1507,-0.4746,1.4290,0.1790,0,test
1.2186,-6.8609,-1.9698,0.7524,-0.6884,1.3110,0.3376,1.0067,0.7637,-2.0806,0.7192,-0.6731,-0.7561,-0.4351,0.7682,0.8844,1.0113,-1.6597,-0.5906,-2.3754,0,train
0.6001,-6.7381,0.2448,0.2314,1.0076,-0.8214,-0.8290,-0.7633,1.7526,1.0906,-0.1236,0.2256,0.1144,0.2030,-0.2086,-0.3342,-1.2566,-0.6418,1.6504,0.5366,0,train
-0.2148,-5.9889,0.3533,-0.6459,0.1963,0.2400,-0.7486,-0.7890,-0.9990,-1.0633,0.8899,-2.3602,-0.2668,-0.6111,-0.6198,0.0976,1.1279,0.0764,-0.1402,-0.6124,0,train
0.9121,-6.5473,-1.1465,-1.2641,-1.1067,-1.3899,1.0990,0.3552,-0.2374,1.4595,-0.6579,0.7530,0.8010,-1.5463,-1.5570,-0.9275,0.9067,1.2961,-1.2276,1.0485,0,val
-0.3935,-6.6469,-0.3240,-1.8183,-1.0012,-1.2356,0.4905,2.0891,2.7318,-0.3365,-1.7214,-0.4071,-0.9393,1.9833,0.5710,-0.7287,0.9358,0.5359,-1.6253,-0.5315,0,test
0.0189,-5.2421,-0.3390,0.1899,-0.5862,-0.8965,1.5158,0.3603,0.4383,-1.5950,-0.1662,0.8192,-1.2912,1.0978,-0.3894,0.4027,-0.1332,0.2185,1.2034,-0.4034,0,train
-0.7820,-7.5148,0.7110,-1.0660,-0.3704,0.9071,1.2105,-1.7749,0.5059,1.8838,1.1950,-0.2401,-0.6006,-0.2965,-1.1528,-0.2646,-0.1873,-0.1457,1.1826,-0.2302,0,train
1.0510,-7.1680,-0.4472,-0.1338,-0.3442,-1.0031,-0.2489,2.1841,-0.6069,-0.1363,1.1239,0.7447,0.7633,0.8622,-1.9680,-0.8641,0.1283,0.4989,1.2943,0.4696,0,train
0.0393,-6.0509,0.2470,0.6742,-0.3398,-0.8136,-0.8547,1.0970,1.2810,0.9922,0.8569,0.8333,-0.0023,0.6638,-1.0521,-0.2031,-0.7337,0.7270,-0.5800,-0.1082,0,val
1.3547,-6.6116,-0.9387,0.8173,-1.1064,0.4524,-0.5701,-0.1057,-1.8209,0.7134,-0.5002,-0.8987,2.0771,0.7118,3.5088,0.4079,-0.3482,0.1077,1.6068,-0.0269,0,test
0.5166,-7.3660,0.1289,-0.5027,-1.2455,0.8721,0.6656,0.0746,-0.9074,-2.0058,0.4855,-0.0978,-1.6838,-0.0601,-1.5212,-0.0266,0.1430,0.3548,0.2170,0.1709,0,train
-0.3836,-7.2465,-0.2357,0.2700,0.6190,1.6350,-2.5687,0.4010,-0.1984,2.2761,0.9335,-1.6531,0.4016,-0.5207,0.9936,-1.0555,-0.1017,-0.1316,-0.0968,-0.5841,0,train
0.4604,-5.0252,-0.0683,-1.0172,0.2030,0.5653,-0.1757,-0.0139,1.4087,-1.1187,-0.5579,-1.9056,-0.6999,-0.7395,-0.9602,-0.6940,1.7970,-0.1963,-0.1142,2.1982,0,train
-1.7339,-5.9109,-0.9371,1.6388,-1.2459,-0.5804,-1.6059,0.0975,-1.0156,-0.0654,-0.3769,-0.6130,0.9432,0.9355,0.0624,-0.9003,-1.0705,0.2699,2.3909,-0.4568,0,val
-0.6974,-7.5482,-0.9722,-0.2050,1.4339,-0.0010,-0.5107,-1.6149,0.2132,-0.0268,-1.2264,-1.0867,-0.0422,1.0125,0.6266,0.2056,-0.3233,0.3206,-0.0121,2.1728,0,test
-0.3684,-4.8223,-0.2656,1.4249,-0.0438,0.1455,-0.3706,-1.3805,-0.9707,2.2151,0.6453,0.6058,0.9536,0.5692,1.0220,-0.2660,-0.2234,0.9838,-0.3523,-1.3307,0,train
-0.5448,-5.7984,-0.7201,-1.0613,-0.3321,1.5529,-0.0479,0.1610,0.0092,0.2955,0.9284,1.3958,-1.6444,1.3611,-0.0033,-0.3208,2.3984,-0.1695,1.9448,0.9680,0,train
0.4884,-5.1772,-0.1254,-2.3280,-0.3442,-0.1916,-1.1076,1.8258,-0.2444,-0.3934,-0.2997,-0.7836,-0.7762,0.0939,0.3132,-0.5073,-0.0905,-1.3901,0.5217,-0.7495,0,train
-0.9068,-6.5080,0.2151,-1.2112,2.4695,-0.0367,-0.0728,-0.7344,1.5948,1.3860,0.2996,-1.3681,-0.5042,0.6159,-0.5121,-1.1841,-1.1876,-0.7713,0.0137,-0.6487,0,val
2.7921,-4.9905,-1.0377,0.3433,0.0870,-0.1381,1.0433,-0.3322,-0.3254,-0.3747,-0.1004,1.2858,0.7762,-1.3414,-0.4417,-0.7977,0.8161,0.2247,0.8898,-0.0621,0,test
0.4510,-5.6258,0.5080,-1.3026,0.0814,-0.6876,-0.6870,0.3535,0.3525,-0.8924,-1.7121,-2.4742,-0.5754,1.1224,-0.0551,-2.2515,-0.8626,0.4215,1.6726,1.1680,0,train
0.1971,-7.5616,-0.4522,-0.3331,-0.7741,0.0635,-0.3927,0.3370,1.4340,0.7413,0.4180,-0.2408,-1.5199,-0.1140,0.5435,-1.0084,1.2539,-0.3337,0.3719,-0.3285,0,train
2.0678,-6.8956,0.9184,-0.5559,0.2790,-0.8057,-0.4164,0.9203,1.9456,-0.8468,0.0101,0.9475,-0.6309,0.7106,-0.7848,0.6040,0.4366,1.2119,0.3636,-1.1930,0,train
-1.1015,-4.9614,1.5106,0.5958,-0.5532,1.1924,0.1676,-1.2452,-0.3546,1.4192,-0.3040,0.1218,-0.3429,-1.6859,-0.5107,0.3566,0.2080,-0.1739,-2.1346,1.2220,0,val
1.0236,-4.2609,-0.4449,-0.6044,0.3143,1.6735,-1.6856,-0.2297,-0.7153,0.5593,1.4643,-0.2959,-1.2406,0.0494,-0.2850,-1.5433,0.8850,-0.5236,0.6832,-1.3156,0,test
-1.4411,-4.8219,-1.8113,1.3800,-0.3748,-1.5560,-0.2350,0.3374,-0.9905,-0.4935,0.2694,-0.1690,-3.0651,-0.4298,0.4270,0.2975,1.0090,-0.6904,2.5535,0.8001,0,train
1.0851,-5.2364,0.1020,-0.6206,1.0241,0.4230,-1.8924,-1.1042,0.4672,0.1087,0.2799,0.6417,0.1455,1.5828,-0.5895,-0.3995,0.3227,0.7455,0.7875,1.4877,0,train
1.1670,-5.7785,-1.0426,-0.1373,2.0855,0.7854,-0.4695,-2.3986,-0.7354,-0.7025,0.0771,2.3104,0.7460,0.3130,-0.9350,-1.1864,-0.2077,-0.4675,3.0069,-0.4042,0,train
1.1286,-5.5004,-1.2347,1.2893,-0.3121,-1.3288,0.3214,0.4879,-0.3379,0.6975,0.8207,-0.8823,-2.0574,-2.3927,-0.1281,1.2301,1.0026,1.3919,1.8561,0.0159,0,val
-1.5291,-4.6792,0.3927,-0.0944,-0.4422,-1.1158,0.1402,1.2776,-0.3669,0.5312,-0.6644,0.2540,-1.0072,0.3783,-0.2181,0.3154,-0.6066,-1.1763,-0.3287,1.0365,0,test
-0.3247,0.7993,0.7586,-1.9729,-1.5513,0.3240,-0.9695,1.1763,0.7882,0.6174,-2.5359,0.6213,0.6997,-1.2777,0.9701,0.0754,-0.1831,-0.7132,-1.0183,-0.4340,1,train
0.2033,0.2081,-0.6480,-4.3735,-0.5519,-0.8864,0.8754,-0.2706,0.8660,-1.1551,0.9290,-0.0270,0.6674,-0.1040,-0.8879,1.2104,-0.4355,-0.1472,-0.8856,0.2044,1,train
0.2821,0.3446,-0.6888,-5.2811,0.4327,0.9176,0.6962,-1.1454,0.6050,0.3845,0.2838,0.4295,-0.3238,0.2146,0.9268,-0.5048,-1.4398,-0.1048,0.1962,-1.8448,1,train
0.5894,-0.1501,0.0925,-4.2870,0.9064,1.7545,-0.1998,-0.7323,-1.1575,0.8906,0.1042,-0.7943,1.2136,0.7647,0.6030,-1.7598,-0.1036,0.6257,-1.2244,0.9289,1,val
1.0337,-0.7217,-0.7077,-2.9451,0.9943,1.2292,1.2006,-0.1000,-0.4100,-1.8552,0.7841,2.2764,-0.4633,-0.4758,0.6489,0.3741,-1.3705,-0.7145,-1.0979,2.0215,1,test
0.8539,1.9178,1.8945,-2.3983,1.6296,-1.2352,-0.3457,-0.7280,-0.2901,2.6212,-1.6790,0.5583,-1.2363,1.3388,1.2999,-0.5118,2.0698,0.0749,1.3035,0.3113,1,train
-0.3805,-0.1180,0.6174,-3.7846,2.3603,-0.1931,-0.4669,-0.7193,-0.7770,-1.4397,-0.9854,0.9064,0.0602,-0.1713,0.3503,1.0675,0.6156,0.7732,-0.5597,-0.2613,1,train
-0.0969,-0.8176,-0.3725,-3.5439,-0.2160,-0.2663,-0.4917,1.3099,-0.3422,-1.0113,0.1935,-1.0893,-1.0730,0.0842,-1.6671,-3.2195,0.2882,1.0347,-1.6710,-0.8972,1,train
-1.9871,-0.8743,-1.2040,-3.2144,-1.9728,0.8949,-0.1441,0.3028,-0.3280,-2.1214,-0.1522,-1.3405,0.0101,-0.8526,-0.3167,-0.2107,0.7723,0.7669,-1.0052,-0.0166,1,val
0.4942,-0.7293,-0.1213,-3.5990,0.9413,0.0334,0.3751,2.2115,-1.3784,-1.0139,-1.7318,-1.5928,0.8574,0.2923,1.6310,-1.9744,-0.8811,1.4438,1.0292,0.8849,1,test
0.0324,-0.0103,0.0322,-3.0116,-0.1628,0.3207,1.4535,-1.1256,-0.7500,0.5649,-0.2633,-0.1569,2.0983,0.4158,-0.4176,1.0980,2.5175,-1.1095,-0.6701,0.1163,1,train
2.1713,0.5257,-0.3984,-3.3189,-0.7960,-0.6050,0.1056,2.3878,-2.2503,0.4201,1.3509,0.7401,1.9224,0.4504,0.1464,-0.1314,-0.8565,1.6352,-1.1833,-0.1235,1,train
-0.7851,-2.2223,-0.3818,-3.5589,0.1434,0.8446,-0.1623,-0.6412,0.3078,0.6650,-0.9039,-1.5195,-1.0251,1.0576,0.9984,-0.8865,0.1114,0.8388,1.3287,-0.6587,1,train
1.4090,2.4109,1.5297,-4.7488,0.4488,-0.2989,-0.0586,-0.6629,-0.4798,-0.0102,1.8031,0.6995,0.4267,0.0268,-0.7508,-0.2292,1.2394,0.8301,1.9641,0.2607,1,val
-1.6183,0.3979,-1.7237,-2.3028,-0.6298,0.0004,-1.3509,-0.4960,-0.9314,1.1313,0.2482,-1.1802,-1.9311,-0.0683,-0.4867,-1.1105,0.5897,-0.1854,0.1113,-0.5905,1,test
-0.4601,-1.6030,0.6296,-3.0246,-1.7233,0.1023,1.1545,0.2368,1.2959,-0.2682,0.0017,-1.2997,-0.9052,-1.8232,-0.8952,0.2442,0.5193,1.1635,0.1306,-0.9899,1,train
-0.1454,1.7841,1.9584,-2.3111,-1.1364,-0.5252,0.1906,-0.7122,0.5237,0.6861,0.8383,0.2283,-0.8837,-0.8425,-0.1231,1.3273,1.5745,0.9782,0.3627,0.6758,1,train
1.2924,0.8558,-1.5355,-2.4369,0.3854,-0.4599,0.5255,0.2883,-0.0540,-1.6889,0.1112,0.5568,-0.0484,-1.5883,0.4580,0.7195,0.1810,0.4259,-0.3519,-0.6580,1,train
-0.3548,0.1824,3.2555,-3.2286,0.1356,-1.6219,0.0964,0.7581,-0.7047,-0.2382,-2.2542,0.5553,-0.5953,0.6839,1.3644,-0.1615,0.9844,0.2506,-0.2045,-0.2807,1,val
1.2837,0.8803,-1.0058,-2.7830,-0.7298,-1.5052,1.1992,-1.2796,1.1846,0.1993,0.9022,0.5117,1.1546,0.3476,0.5784,0.2487,1.0951,-0.3915,1.0158,1.5066,1,test
0.4401,-0.5139,-0.2883,-3.2714,-0.3420,-0.8857,-0.0297,0.1913,0.3230,0.7101,-1.7739,1.4128,-0.1716,-0.7721,-0.3711,0.4423,0.8705,-0.3661,0.1578,-1.5956,1,train
-0.1119,-0.4310,0.8857,-2.1063,1.0326,-0.7816,1.5280,-0.3336,-0.0407,-0.5801,0.4560,0.5532,0.1451,-0.2098,-0.1434,-0.4007,0.9711,-0.5202,-0.1475,-0.2092,1,train
-0.2273,-1.4638,0.4075,-3.4891,-0.2993,1.5509,-0.8187,0.5540,0.4767,-0.5341,-0.2403,0.8879,0.0615,0.2816,1.3942,0.2166,-1.6650,-0.7322,0.8315,-0.1285,1,train
-1.9684,0.3222,1.4945,-4.3343,-2.1573,0.4951,-0.5381,-0.2921,-0.3211,-0.8971,0.4380,0.9140,0.3626,-0.5531,1.0339,-0.1094,0.5774,-0.9289,0.6533,0.7393,1,val
0.0283,0.4411,-0.5715,-2.3567,0.7717,1.0734,-0.3818,-1.2106,-0.0665,-0.2054,-0.7386,0.6004,0.9394,0.3921,1.1017,0.3936,-0.9652,-0.5781,-0.3493,0.6800,1,test
0.1360,1.0042,-0.8122,-3.9800,1.4810,0.4405,1.0358,-1.8631,-1.6480,-0.8517,0.9957,1.6068,-0.6085,-0.9702,-0.9991,-0.8784,0.5501,-0.3080,1.8559,0.7139,1,train
